# N1 latencies, N1 deflection, N1 Magnitude, SNR condition, EEG Session Counter, Experiment, Session, 1st RT percentiles, 10th RT percentiles, 30th RT percentiles, 50th RT percentiles, 70th RT percentiles, 90th RT percentiles, RT means, Cutoffs, Percent Removed, True Subject Index, Accuracy
274.0000,152.0000,-92.8597,0.0000,19.0000,1.0000,1.0000,394.9000,583.5000,654.0000,721.5000,828.0000,976.5000,753.2547,0.0000,0.0000,7.0000,0.6321
227.0000,102.0000,-92.1822,0.0000,49.0000,2.0000,5.0000,617.1200,678.8000,749.2000,827.0000,938.8000,1088.8000,864.1048,0.0000,0.0000,14.0000,0.9143
253.0000,144.0000,-89.2560,0.0000,2.0000,2.0000,1.0000,396.7000,690.0000,804.0000,877.0000,983.0000,1182.0000,901.6847,0.0000,0.0000,1.0000,0.6126
215.0000,77.0000,-87.5796,0.0000,50.0000,2.0000,6.0000,644.7900,682.6000,758.7000,830.0000,899.0000,1038.0000,843.7600,0.0000,0.0000,14.0000,0.9500
191.0000,123.0000,-87.0891,1.0000,39.0000,2.0000,2.0000,463.0400,557.8000,611.2000,684.0000,822.6000,1031.0000,753.0190,0.0000,0.0000,13.0000,0.8667
255.0000,31.0000,-86.9319,0.0000,46.0000,2.0000,2.0000,608.0400,691.2000,768.3000,860.0000,996.8000,1231.1000,917.9902,0.0000,0.0000,14.0000,0.8333
261.0000,154.0000,-86.3012,0.0000,27.0000,1.0000,1.0000,538.7500,814.5000,961.5000,1141.5000,1266.5000,1538.5000,1140.7358,0.0000,0.0000,11.0000,0.6226
227.0000,93.0000,-84.5173,0.0000,48.0000,2.0000,4.0000,598.4300,682.9000,757.7000,810.0000,910.3000,1183.3000,871.0636,0.0000,0.0000,14.0000,0.8909
221.0000,61.0000,-82.3615,0.0000,51.0000,2.0000,7.0000,568.4300,636.7000,724.9000,779.0000,839.2000,1044.9000,820.1875,0.0000,0.0000,14.0000,0.8839
229.0000,127.0000,-81.6899,0.0000,40.0000,2.0000,3.0000,451.8900,533.4000,579.2000,644.0000,743.9000,946.2000,698.5185,0.0000,0.0000,13.0000,0.7963
218.0000,65.0000,-79.2996,0.0000,43.0000,2.0000,6.0000,418.7600,513.0000,560.8000,629.0000,717.6000,865.8000,659.0309,0.0000,0.0000,13.0000,0.8247
226.0000,117.0000,-78.3114,0.0000,41.0000,2.0000,4.0000,491.0500,533.5000,601.0000,680.0000,839.0000,983.0000,734.0345,0.0000,0.0000,13.0000,0.7931
180.0000,104.0000,-77.5554,2.0000,47.0000,2.0000,3.0000,552.1000,631.6000,705.8000,793.0000,954.0000,1106.8000,840.5794,0.0000,0.0000,14.0000,0.9439
197.0000,87.0000,-75.2948,1.0000,47.0000,2.0000,3.0000,553.0000,607.6000,690.8000,765.5000,897.9000,1127.2000,821.5818,0.0000,0.0000,14.0000,0.9273
205.0000,114.0000,-74.8196,2.0000,45.0000,2.0000,1.0000,565.2200,645.0000,741.6000,798.0000,881.6000,1019.4000,831.6875,0.0000,0.0000,14.0000,0.8661
243.0000,133.0000,-71.8354,0.0000,38.0000,2.0000,1.0000,540.2000,584.0000,663.2000,768.0000,886.6000,1045.0000,798.6667,0.0000,0.0000,13.0000,0.7429
264.0000,151.0000,-70.9388,0.0000,9.0000,1.0000,1.0000,299.2000,553.6000,625.2000,759.0000,860.0000,1127.8000,794.1010,0.0000,0.0000,2.0000,0.5859
274.0000,138.0000,-68.5507,0.0000,25.0000,1.0000,1.0000,216.7900,613.6000,832.1000,923.0000,1023.5000,1280.7000,934.4423,0.0000,0.0000,10.0000,0.5769
214.0000,68.0000,-68.1202,0.0000,13.0000,1.0000,1.0000,591.0800,642.0000,732.8000,785.0000,857.4000,995.8000,806.6893,0.0000,0.0000,4.0000,0.6019
237.0000,109.0000,-65.4375,0.0000,22.0000,1.0000,2.0000,220.2200,462.8000,557.4000,619.0000,702.0000,822.0000,639.5234,0.0000,0.0000,8.0000,0.5234
227.0000,101.0000,-64.0989,0.0000,47.0000,2.0000,3.0000,610.0000,680.0000,773.0000,878.0000,1004.0000,1211.0000,909.5347,0.0000,0.0000,14.0000,0.8713
250.0000,86.0000,-61.6509,0.0000,29.0000,2.0000,1.0000,626.9800,771.5000,911.8000,1026.5000,1196.0000,1488.2000,1072.0400,0.0000,0.0000,11.0000,0.6800
178.0000,98.0000,-57.0634,1.0000,13.0000,1.0000,1.0000,520.6000,570.0000,650.0000,747.0000,821.0000,967.0000,752.9369,0.0000,0.0000,4.0000,0.8108
265.0000,22.0000,-53.5882,0.0000,45.0000,2.0000,1.0000,622.8000,729.0000,803.8000,909.0000,1014.6000,1254.6000,949.3711,0.0000,0.0000,14.0000,0.6598
179.0000,110.0000,-51.1386,2.0000,13.0000,1.0000,1.0000,514.3600,600.4000,686.2000,776.0000,852.4000,982.8000,786.7238,0.0000,0.0000,4.0000,0.7714
